,retail,book,food,auto,furni,electro,health,cloth,jewelry,sport
12-Jul,351520,785,44506,63359,4145,6816,22155,13717,1943,3551
12-Aug,372986,1836,44936,68421,4370,7064,22968,15157,2115,3969
12-Sep,342582,1097,43027,60834,4128,6521,21365,13714,2044,3161
12-Oct,355823,717,43577,61304,3792,6358,22842,14247,2060,2959
12-Nov,368593,755,42472,59785,4236,8762,22321,16562,2542,3478
12-Dec,416807,1318,45295,64822,4352,11921,25165,21594,6049,5601
13-Jan,333789,1658,41798,59941,3969,6961,23369,11294,1793,3066
13-Feb,332491,741,41496,63113,3989,7018,21823,12237,2546,3010
13-Mar,374155,707,47564,71579,4479,6966,23632,15364,2145,3822
13-Apr,362984,664,45560,68859,3979,6114,22950,14100,2246,3417
13-May,389700,821,47488,72999,4217,6490,23711,15149,2721,3645
13-Jun,369274,724,45440,69543,4087,6551,22268,14122,2139,3939
13-Jul,376928,706,45482,73089,4237,6666,23229,14312,2020,3802
13-Aug,388112,1569,46893,75585,4572,7039,23530,15644,2151,4141
13-Sep,352560,1108,43653,64318,4267,6559,22934,13471,2004,3212
13-Oct,369638,720,46062,67065,4273,6706,24268,14816,2235,3142
13-Nov,378498,744,45288,64883,4587,8912,23342,16781,2661,3726
13-Dec,430321,1327,46589,68316,4230,11577,26784,21703,5790,5479
14-Jan,340122,1482,42932,60619,3904,6770,24171,11082,1904,2700
14-Feb,337129,729,42890,64321,4069,6742,22781,12100,2615,2779
14-Mar,383241,683,49410,77611,4586,6928,24633,14863,2162,3522
14-Apr,383688,681,47708,74532,4154,6063,24430,15012,2309,3488
14-May,408177,792,51054,79046,4602,6389,25168,15652,2878,3647
14-Jun,385387,700,47895,73171,4181,6316,24424,14047,2210,3897
14-Jul,394591,704,48690,77651,4433,6591,24815,14699,2175,3806
14-Aug,401280,1700,50086,79978,4698,6911,24850,15924,2283,4345
14-Sep,374354,1068,47070,71340,4589,6938,24816,13911,2090,3486
14-Oct,388322,726,50135,72434,4483,6812,25719,15248,2229,3403
14-Nov,391551,728,47614,68604,4741,9372,24286,17856,2591,3865
14-Dec,451598,1332,50732,76259,4836,12276,29170,22731,5766,5785
15-Jan,350067,1485,47960,68415,4434,6957,25663,11612,1891,2839
15-Feb,341459,687,46604,68917,4265,6695,24106,12590,2618,2831
15-Mar,392848,657,53122,82636,4769,6706,26845,15502,2133,3690
15-Apr,387352,654,52285,79486,4383,5996,25625,15124,2298,3573
15-May,409376,752,55409,82885,4889,6353,25572,16179,2851,3829
15-Jun,397752,685,52042,79754,4655,6659,25802,14595,2347,4098
15-Jul,406393,695,53140,83376,4834,6610,25968,15249,2226,4102
15-Aug,404729,1550,53176,84447,4977,6926,25885,16205,2255,4331
15-Sep,382020,1066,50762,78083,5045,6811,26271,14318,2038,3649
15-Oct,392545,720,54048,77759,4907,6704,26791,15564,2166,3422
15-Nov,396490,726,50283,73135,4963,8794,25953,17420,2584,3828
15-Dec,464962,1321,54663,81557,5188,11325,30763,22791,6054,6134
16-Jan,351890,1429,50092,69732,4515,6369,26088,11616,1777,3057
16-Feb,363687,691,51502,77573,4728,6509,26742,13177,2649,3184
16-Mar,405310,684,55888,85595,5096,6550,28299,15950,2139,4009
